t(us) chan[0] chan[1] chan[2] chan[3]
98750.000000 -298513 -298193 2499666 948081
99000.000000 -298484 -298248 2495311 931078
99250.000000 -298467 -298233 2491236 916982
99500.000000 -298522 -298258 2476112 896927
99750.000000 -298523 -298237 2464824 874292
100000.000000 -298491 -298214 2466545 862083
100250.000000 -298536 -298199 2460150 851505
100500.000000 -298575 -298227 2450419 835088
100750.000000 -298490 -298228 2444260 818806
101000.000000 -298523 -298263 2434875 798545
101250.000000 -298542 -298238 2425057 784661
101500.000000 -298459 -298249 2419668 774964
101750.000000 -298500 -298283 2420819 767830
102000.000000 -298534 -298263 2420828 759186
102250.000000 -298474 -298342 2424301 759983
102500.000000 -298540 -298298 2423647 765401
102750.000000 -298475 -298220 2427970 770714
103000.000000 -298473 -298174 2426836 771740
103250.000000 -298476 -298284 2427454 768972
103500.000000 -298477 -298291 2430894 762270
103750.000000 -298484 -298327 2429619 760004
104000.000000 -298582 -298393 2424200 765463
104250.000000 -298556 -298304 2423478 774760
104500.000000 -298537 -298255 2424934 775874
104750.000000 -298456 -298246 2427460 779016
105000.000000 -298461 -298234 2431741 786501
105250.000000 -298561 -298258 2437765 788651
105500.000000 -298562 -298315 2452304 796315
105750.000000 -298511 -298326 2449878 807172
106000.000000 -298554 -298293 2443128 816720
106250.000000 -298566 -298277 2446426 818797
106500.000000 -298503 -298265 2450103 816568
106750.000000 -298531 -298209 2445342 812085
107000.000000 -298585 -298263 2439892 798579
107250.000000 -298503 -298293 2436567 796069
107500.000000 -298549 -298310 2434646 800702
107750.000000 -298535 -298228 2438718 812888
108000.000000 -298479 -298185 2440694 818250
108250.000000 -298442 -298210 2452894 822480
108500.000000 -298423 -298239 2454018 839488
108750.000000 -298420 -298228 2453645 855524
109000.000000 -298410 -298239 2465844 874509
109250.000000 -298504 -298209 2478938 890719
109500.000000 -298525 -298221 2479478 908556
109750.000000 -298516 -298207 2484897 938518
110000.000000 -298504 -298201 2496159 960566
110250.000000 -298534 -298188 2501752 968032
110500.000000 -298493 -298165 2504885 985486
110750.000000 -298513 -298148 2508276 1011681
111000.000000 -298578 -298170 2515722 1035897
111250.000000 -298461 -298213 2518619 1043109
111500.000000 -298494 -298156 2518965 1041077
111750.000000 -298502 -298169 2524717 1050701
112000.000000 -298479 -298140 2524817 1056404
112250.000000 -298499 -298194 2531203 1058774
112500.000000 -298492 -298185 2531271 1060969
112750.000000 -298525 -298126 2526720 1058081
113000.000000 -298501 -298109 2525253 1063463
113250.000000 -298534 -298110 2528934 1060932
113500.000000 -298510 -298157 2519523 1051515
113750.000000 -298478 -298198 2515577 1050803
114000.000000 -298477 -298167 2519824 1046814
114250.000000 -298444 -298181 2518162 1038802
114500.000000 -298493 -298241 2523172 1028975
114750.000000 -298520 -298215 2523353 1026733
115000.000000 -298464 -298120 2513733 1027744
115250.000000 -298485 -298109 2504305 1028191
115500.000000 -298526 -298182 2509815 1021943
115750.000000 -298582 -298185 2515891 1006542
116000.000000 -298528 -298196 2513048 997824
116250.000000 -298487 -298169 2510600 992776
116500.000000 -298511 -298171 2501281 1000727
116750.000000 -298516 -298209 2504683 1014409
117000.000000 -298541 -298204 2508157 1017840
117250.000000 -298541 -298112 2509140 1020458
117500.000000 -298456 -298158 2513545 1021121
117750.000000 -298473 -298246 2512016 1015844
118000.000000 -298527 -298258 2512574 1005222
118250.000000 -298531 -298168 2509366 986509
118500.000000 -298528 -298227 2497920 975998
118750.000000 -298527 -298268 2494047 962120
119000.000000 -298409 -298200 2485470 949238
119250.000000 -298478 -298209 2472513 933260
119500.000000 -298552 -298221 2463502 909413
119750.000000 -298561 -298238 2469023 894963
120000.000000 -298529 -298276 2473379 876612
120250.000000 -298470 -298300 2463325 853375
120500.000000 -298545 -298235 2458086 829932
120750.000000 -298522 -298272 2454406 815664
121000.000000 -298505 -298231 2447997 800690
121250.000000 -298493 -298317 2437787 787387
121500.000000 -298483 -298287 2435431 774026
121750.000000 -298518 -298252 2427818 768087
122000.000000 -298498 -298309 2420100 762311
122250.000000 -298521 -298298 2415868 757926
122500.000000 -298555 -298327 2420697 763356
122750.000000 -298557 -298340 2422967 767879
123000.000000 -298546 -298305 2428913 767512
123250.000000 -298474 -298329 2430625 766302
123500.000000 -298493 -298233 2429585 763027
123750.000000 -298500 -298213 2428484 761802
124000.000000 -298461 -298238 2428707 764623
124250.000000 -298494 -298278 2430319 771749
124500.000000 -298465 -298237 2434127 781392
124750.000000 -298515 -298204 2428867 785283
125000.000000 -298545 -298211 2428624 799657
125250.000000 -298513 -298234 2435714 806290
125500.000000 -298491 -298166 2440839 804714
125750.000000 -298502 -298222 2441111 807145
126000.000000 -298425 -298247 2436777 816460
126250.000000 -298432 -298217 2445200 820744
126500.000000 -298545 -298227 2455562 824110
126750.000000 -298467 -298256 2452211 817971
127000.000000 -298510 -298336 2442907 812937
127250.000000 -298510 -298290 2438499 800873
127500.000000 -298451 -298309 2438128 795014
127750.000000 -298450 -298356 2433926 798493
